2020-3-18,谁说美国一亿援助没给中国，不是在这么么？
2020-3-18,美元到手了。
2020-3-18,建议把所有视频删掉，大家就不会评论了。
2020-3-18,微博看到过来的
2020-3-18,回形针屁股歪资料：链接: https://pan.baidu.com/s/1NhAl8sEmi-pImW49vM3uXg 提取码: iwy3magnet:?xt=urn:btih:e64449caed756ee0476b456591bb30af6441c2de&dn=%e5%9b%9e%e5%bd%a2%e9%92%88%e5%b1%81%e8%82%a1%e6%ad%aa%e7%9a%84%e9%bb%91%e5%8e%86%e5%8f%b2.flv决不让互联网遗忘历史，删评一次， 大家接力
2020-3-18,微博回形针的孝子真多，全是帮回形针洗地的，笑死我了 ，微博那些人就只会说一句  视频没看完就开喷   哈哈哈   这钱真好赚， 请这么一群xxx来洗  哈哈哈
2020-3-18,在？去YouTube上传一些关于要求美国退耕还林的视频？
2020-3-18,我提醒一下，这位是黄章晋大象公会的人，b站跟他们有关系的账号不止这一个，科普账号夹带私货的也不止这一个，理工科还稍微好点，人文社科上做妖的可不少，说了好多次咋没人信呢（￣▽￣）
2020-3-18,有哪些呀[笑哭]蹲一个点名我好取关
2020-3-18,人家灯塔美帝国主义花了几代人的心血，屠杀了多少原住民，侵略了多少国家，打赢了多少战争才换来的国际地位，人家疯狂浪费资源或者天朝上邦的生活不是应该的吗？相比之下，我们自己呢，仅仅是吃苦耐劳，埋头工作，辛勤劳动竟然就妄想着能吃肉和牛奶鸡蛋？甚至是大豆这种珍馐美味？荒唐！无耻！懂得廉耻的人都知道，我们这种只知道辛勤劳动的国家就应该受苦受难，让帝国主义享受，才是道德制高点！所以为了保护巴西雨林，只有中国人减少吃肉这一条出路，所有指责巴西本国，指责🇺🇸的都是犯罪，其心可诛！[doge]
2020-3-18,一看风向不对就删视频你可真恶心死我了。
2020-3-18,回形针视频YouTube的地图没有tw。b站的有可以一棒子打死了吧？老阴阳人了Vol.016   03:01
2020-3-18,中国地图，b站视频有tw，油管没有tw，老阴阳人了。
2020-3-18,是台湾就发台湾，别整天twtw你有不是不认识拼音
2020-3-18,这条还没我还没来得及点赞就没了，两条动态都删了，微博也都删了，挺快呀[doge][doge]根据排名，美国人均肉类消费124.1kg，澳大利亚121.6kg，中国仅60.59kg。更何况中国大部分是需要占地面积更小的猪肉，而至少美国牛肉占绝大比例。欧美人均一个顶俩，建议欧美人民立刻去亚马逊植树，而不是在这里光说不练假把式地搞个NGO认证。另外国人还是武德不够充沛，建议巴西加大力度，多提高大豆以及牛肉的产量出口中国，给中国消费者提供更廉价的优质蛋白质。还有美国这么多耕地，这ngo怎么不再美国加大力度退耕还林啊，美国世界第一人均肉类消耗量＋世界前二大豆出口量，这ngo还不急了眼上去how dare you，啊什么，美国退出气候协议了，那没事了。
2020-3-18,说实话，关注回形针那么久，挺失望的。恰饭可以，但不是什么饭都能恰
2020-3-18,老双标了，高级的恰饭还是恰饭，没整明白有啥好看的[吃瓜]主要看了几期觉得价值观有点问题，现在还真石锤了[干杯]
2020-3-18,唉?等下，我台湾呢?
2020-3-18,回形针:我不到啊?[吐][吐][吐][吐]
2020-3-18,别去，他们美元多
2020-3-18,别去，他屁股歪
2020-3-18,可真的把我給笑死了。“因为巴西丛林的树木因为巴西为了发展经济，导致大量砍伐，所以要中国人少吃肉来解决。”你可别把我笑死了，巴西为什么是农牧大国，巴西人为什么要靠贩卖农产品和大量轻工业出口换外汇，就是因为被资苯殖民了啊，你低价吧原材料给我，我把高价的科技消费品给你，剪刀差才是一年年下来雨林雨林不断减少的原因。天天被资苯强盗抢劫，那树当然得减少了啊。你让我环保我必不环保，资苯家宁愿把产品烧掉倒掉也不可能白给你。how dare you
2020-3-18,这位是黄章晋大象公会的人，b站跟他们有关系的账号不止这一个，科普账号夹带私货的也不止这一个，理工科还稍微好点，人文社科上做妖的可不少（￣▽￣）
2020-3-18,兄弟能再扒一下吗，还有哪个账号
2020-3-18,大象公会的都是这种烂屁股阴阳人吗？
2020-3-18,自媒体做广告无可厚非  但是拿着西方组织的钱 抹黑中国 然后推广环保赎罪券 就有点汪精卫的意思了
2020-3-18,搞科普的偏偏要夹杂政治因素。。。还想两头吃钱。[无语]
2020-3-18,回形针没火之前我就是忠实观众了，太失望了...中国人要吃肉有错吗？？？为什么美国人，英国人能肆无忌惮地吃，我们就吃个肉就要被指指点点，中国人吃肉就是原罪吗？？？中国消费量大是事实，原因是我们基数大啊，人均消费量世界前十都排不到!!!取关了，再见
